User_ID,Age_Group,Gender,Social_Status
-4452663196490529558,18-24,Male,High
-818852029363831245,25-34,Male,Low
-292753356415756742,35-44,Male,High
-125710072003203043,18-24,Female,Middle
4891505550155401424,35-44,Female,High
-3324961857287371323,This is free text for Age_Group,Female,Low
1955830890387030102,55+,Female,High
8002322137623064321,45-54,Female,High
8847031576808930135,55+,Female,Low
462368083526591346,18-24,Female,Middle
-3540220775710200408,35-44,Male,High
-1729996948287943842,35-44,Female,Low
-125710072003203043,18-24,Male,Middle
-3022206462040359824,35-44,Unknown,Low
3235478379590952545,35-44,Female,Middle
2349040558457675298,45-54,Female,Middle
-1847623735780908751,35-44,Male,High
-8706109993441234358,35-44,Female,High
-2757249493452662521,18-24,Male,High
-3168400725204927786,,Female,Middle
7054023847346520934,55+,Male,Middle
-2637437305722164067,55+,Female,Low
-4120138937704467395,45-54,Male,High
5954619287773908184,18-24,Female,Low
3547491741567945989,55+,Female,Middle
-9180320082153110559,25-34,Male,Low
-7519310213278246329,45-54,Female,Low
3240806597764560015,18-24,Male,Middle
-3206056322376812418,55+,Male,Middle
-4634683057338066297,25-34,Male,High
8104274068712240539,35-44,Male,Low
-6876669036290037150,,Female,Middle
2173495607757448691,55+,Female,High
5874043961768914730,55+,Female,Low
-7414733251450053099,55+,Female,High
3248956477002050507,55+,Female,Low
-4631221636554049486,35-44,Male,High
-5169494430255178564,45-54,Male,High
6107515569174889217,25-34,Female,High
-7719932551191197341,35-44,Female,High
5506395577159844383,45-54,Female,Low
-658837823749273884,,Male,High
2314064598883573107,18-24,Male,Low
-2346261692796825653,18-24,Female,Middle
-983317751706538042,35-44,Male,Middle
-8650558846027386456,25-34,Male,High
-8617761616202226692,25-34,Male,This is free text for Social_Status
-5767698590127100820,25-34,Female,High
-4306569696342825794,25-34,Male,Low
-8214499541813377375,35-44,Female,Low
-1614110468585291654,35-44,Male,High
7899986244989024272,55+,Male,Low
42592163930862965,55+,Female,Low
-6763145535925562883,25-34,Male,Low
1111196351747725716,35-44,Female,High
-5557240307927153273,55+,Male,Middle
-4101995990994843346,55+,Female,High
4697846327488098051,35-44,Male,Low
2513866134548502946,35-44,Unknown,High
521348976458368578,35-44,Male,Low
-561014708473598855,55+,Male,Middle
5351076355129641,25-34,Male,Middle
-2734687745594105520,45-54,This is free text for Gender,Low
-5308317588356059923,,Unknown,Low
-8229974318700955241,45-54,Female,Middle
6701463051796443139,18-24,Female,Middle
-6225021789893599018,25-34,Female,Middle
-3388782590139622349,45-54,Male,High
-7442768217405125370,18-24,Male,High
-3273857914532917812,18-24,Male,Low
4312916282223596601,35-44,Male,High
-8513562777535509793,45-54,Male,High
-4567461544182361995,55+,Female,Low
-8750384271601023510,55+,Male,High
9080366457110811545,18-24,Male,Middle
-348680355963620084,55+,Female,Middle
-7657616096417554786,35-44,Male,Middle
8230337592665942006,25-34,Male,Middle
4426847077959994082,55+,Female,High
-4086526639974198425,35-44,Female,Middle
291377836315219763,18-24,Male,High
-6062074850194815281,25-34,Unknown,Low
5724366442894770419,55+,Male,Middle
1506262214829984337,18-24,Male,High
997308304356608459,45-54,Female,Low
6590957786731418196,35-44,Male,Low
6973360608262955122,35-44,Male,High
-7703239401251543185,55+,Male,Middle
7269322217679596301,25-34,Male,Low
4951683964339633886,45-54,Male,Middle
-3676581208418457383,25-34,Male,Low
-6976382395500303353,35-44,Male,Low
8662668152383240823,55+,Female,High
-916473329390731387,25-34,Female,High
-6549158485244105085,35-44,Female,High
-402497811950576725,35-44,Female,Middle
-5121985407493701656,18-24,Female,Low
4153455510625195833,,Female,High
-7957246338600541652,Medios sociales,Male,Low
-38258546520142372,35-44,Female,Middle
-4815185172818050465,45-54,Female,High
7406398191233389678,35-44,Male,Low
1427570198693008052,45-54,Male,High
9137170169926832458,55+,Male,High
-7899479234684043816,18-24,Female,Middle
-5809148202384425340,,Male,Low
7528576535235200373,18-24,Female,High
4588948367604769823,55+,Male,High
2247130410569134074,18-24,Male,High
-8123601388527466604,35-44,Female,Low
-7376543994269082903,,Male,High
-7848170646350573896,25-34,Female,Low
-3365075789580950894,55+,Male,Middle
-5585927585577702015,45-54,Male,High
-5780880180870600671,55+,Female,Low
-7448889674722196154,55+,Male,High
-3164745166319057286,35-44,Female,Low
-4025711227340723883,,Female,Low
-6733881620318906861,18-24,Male,Middle
-1183808033808879706,18-24,Female,Middle
-5278391432935733177,35-44,Female,Low
-7568177684461341052,35-44,Male,High
-2979016229886665659,,Male,High
267290718731947998,18-24,Male,Middle
5653871115264626887,35-44,Female,Low
-1144308029306652918,45-54,Female,Low
3524805060353312854,55+,Male,Middle
411853186843749332,18-24,Female,Low
-4805387507446732885,55+,Male,Low
-560608126075655708,45-54,Unknown,Middle
-909330052747417853,35-44,Unknown,Low
-8120870695561050730,55+,Male,Middle
7293419522860293802,45-54,Male,High
-2562018851864959702,55+,Female,Low
8887544449932902072,45-54,Female,High
5309129831857368683,18-24,Male,Middle
-7513393352775550881,45-54,Male,High
1704160352299918410,25-34,Male,High
-3727760120064421282,18-24,Male,Middle
132534012187475827,25-34,Male,High
5044542099093647638,55+,Male,High
-6884960875965212876,25-34,Male,Low
8988848276235684787,25-34,Female,Low
180549652730013250,,Male,High
1293532554861515811,18-24,Male,Middle
7182953917545577372,55+,Male,Low
-5963861023223200858,25-34,Male,Middle
-1763072284928756773,55+,Female,High
3735573660085999284,55+,Female,Low
-5100769421220704944,18-24,Male,Middle
525385601026162789,18-24,Male,Middle
4783133217447474338,45-54,Female,Middle
-7060839800575185389,35-44,Unknown,Low
-7213032991370782016,45-54,Female,High
7307078534593842523,25-34,Male,Middle
7933404992956538722,18-24,Male,Low
-2273456124325870239,55+,Male,Middle
9172701426593080573,25-34,Male,High
7663928825162015852,35-44,Male,Middle
3456835213019881369,35-44,Unknown,Jeux
5643578727733163224,55+,This is free text for Gender,Middle
-8925814490628260655,55+,Female,High
2620372969678267975,,Female,Low
7799023557056003990,25-34,Female,Middle
-8349524076113720270,18-24,Male,Middle
918311164997595081,18-24,Male,Low
-4101903030231752357,35-44,Female,Low
-7029966270462392788,25-34,Female,Low
6780700457190674460,25-34,Female,High
-4599348944426761360,25-34,Female,Low
4666431823301487059,45-54,Male,Middle
1094510769441072923,45-54,Male,High
-8049526310868183507,25-34,Male,Low
-8193908000310451015,45-54,Female,Low
7449568758117438898,25-34,Male,High
2427708885625993785,55+,Male,Middle
3224770984648249382,,Male,High
3338631495171780810,18-24,Male,High
-519970309413513761,18-24,Female,Middle
-3678301320558997070,25-34,Unknown,High
8041925275389864530,45-54,Female,Low
7194037679679991208,25-34,Female,High
8056254938775094449,18-24,Female,High
7705360985295493733,45-54,Male,Low
3356254629544706059,55+,Male,Middle
1505493300428592936,45-54,Female,Low
-1470590842259283251,25-34,Female,High
-7746490131319710938,35-44,Male,High
-3659895265032624770,55+,Female,High
-8106521010294690900,35-44,Male,Low
6089621114727639102,,Female,High
7915353637683055804,18-24,Female,High
-2348255803397214803,45-54,Unknown,Middle
-3712128777466919870,45-54,Female,High
8832271676685892263,18-24,Female,Low
-3601579281644184162,Streaming,Female,High
-1179154521118372181,55+,Male,Low
1255472575221569379,55+,Female,High
-6287126892327165803,35-44,Male,Middle
7262465161195433525,55+,Female,High
291377836315219763,18-24,Male,Low
-3850587494206244402,55+,Male,Middle
-8456192418535722757,55+,Male,Middle
-5654791085605648249,,Male,Middle
847400474623737529,55+,Male,Middle
1160514608393193330,55+,Male,Low
3490635325198526130,55+,Male,Middle
-2196333887670316881,55+,Achats,Middle
-3323712641355644152,18-24,Male,High
-6224592384088858668,45-54,Male,High
-1216934006123825456,35-44,Male,Low
-1911007395697358694,45-54,Male,Middle
-8543784751326521474,55+,Female,Middle
-6725849595634409343,55+,Female,Low
-7859063026380042737,25-34,Jeux,Low
-6204895610166549967,45-54,Male,High
6069952518367771505,55+,Female,Middle
-7538168271544817069,,Female,High
-8027237612208328254,45-54,Male,High
-2777313926175946955,45-54,Male,High
8044418137465776160,25-34,Male,High
8740031588107620642,55+,Male,Low
-4732725768435102739,25-34,Male,Middle
-130457899386152119,18-24,Female,Low
3582951562690401169,25-34,Female,High
6909683926685953905,25-34,Male,Middle
2507807823701417261,25-34,Female,High
-3998312129595847422,35-44,Male,Middle
5594469852082191044,This is free text for Age_Group,Male,High
-4117682895221806067,45-54,Female,High
1654878844145093901,55+,Female,Middle
7237848257112213712,55+,Male,Middle
-7366639952991381318,25-34,This is free text for Gender,High
-7434474914959516511,25-34,Male,Low
239302601301679642,35-44,Male,Low
990750569747603536,25-34,Female,High
2729695390733492371,25-34,Female,Low
5205968338218186056,,This is free text for Gender,High
7486597038763841258,45-54,Female,High
4775724825571922746,,Male,High
-6458970577037172340,35-44,Female,Low
-4152558183035993982,55+,Male,High
8288261236677937517,18-24,Male,High
-5062983427665672950,Streaming,Unknown,Low
665066964820150712,35-44,Male,Low
8477414102447387985,45-54,Female,Middle
-6587935301638323083,18-24,Female,High
-7623762746037067677,45-54,Female,Low
-985882920599098950,18-24,Female,Low
7516931476095292306,55+,Male,High
-4360053219850093720,This is free text for Age_Group,Female,Low
7827702940081878687,55+,Female,Middle
1844398887518425512,45-54,Male,High
2460304113901810950,35-44,Female,High
4179942693393624011,55+,Male,High
8680103231445797941,25-34,This is free text for Gender,High
5663845773088838184,55+,Male,Low
-2549796090349477602,55+,Female,Middle
-8372085307369503229,18-24,Male,High
-690561375901541756,45-54,Male,Low
-454799050787593985,35-44,Male,High
-895182012614058341,25-34,Male,This is free text for Social_Status
-514769048824768362,18-24,Female,Middle
5584311811867325649,25-34,Female,Low
-1758705413350230922,35-44,Male,High
