User_ID,Device_Type,Network_Type,Region
-4452663196490529558,Smartphone,4G,Rural
-818852029363831245,Smartphone,5G,Rural
-292753356415756742,,4G,
7509002666944287225,Tablet,5G,Suburban
4891505550155401424,PC,5G,Rural
-3324961857287371323,Tablet,Wi-Fi,Suburban
1955830890387030102,Smartphone,5G,Urban
8002322137623064321,PC,5G,Rural
8847031576808930135,Smartphone,Wi-Fi,Suburban
462368083526591346,Smartphone,Wi-Fi,Urban
-3540220775710200408,,5G,
-1729996948287943842,Tablet,4G,Rural
6189765984303721907,Smartphone,4G,Urban
2513866134548502946,device-123,Wi-Fi,Rural
3235478379590952545,PC,Wi-Fi,Rural
2349040558457675298,PC,Wi-Fi,Suburban
-1847623735780908751,PC,5G,Suburban
-8706109993441234358,Tablet,4G,Urban
-2757249493452662521,PC,5G,Urban
-3168400725204927786,Smartphone,Wi-Fi,Rural
7054023847346520934,PC,5G,Urban
-2637437305722164067,Tablet,Wi-Fi,Suburban
-4120138937704467395,PC,4G,Urban
5954619287773908184,PC,5G,Rural
3547491741567945989,Smartphone,5G,Urban
-9180320082153110559,Smartphone,4G,Suburban
-7519310213278246329,PC,4G,Rural
3240806597764560015,Tablet,Wi-Fi,Urban
-3206056322376812418,Tablet,5G,Rural
-4634683057338066297,PC,4G,Suburban
8104274068712240539,Tablet,4G,Urban
-6876669036290037150,PC,4G,Suburban
2173495607757448691,Smartphone,5G,Suburban
5874043961768914730,Tablet,4G,Rural
-7414733251450053099,Tablet,4G,Suburban
3248956477002050507,PC,Wi-Fi,Suburban
-4631221636554049486,Tablet,4G,Suburban
-5169494430255178564,PC,4G,Suburban
6107515569174889217,This is free text for Device_Type,Wi-Fi,Suburban
-7719932551191197341,PC,4G,Urban
5506395577159844383,Smartphone,4G,Rural
-658837823749273884,PC,4G,This is free text for Region
2314064598883573107,PC,5G,Urban
-2346261692796825653,Tablet,Wi-Fi,Rural
-983317751706538042,PC,4G,Rural
-8650558846027386456,Smartphone,4G,Rural
-8617761616202226692,Jeux,5G,Rural
-5767698590127100820,Smartphone,4G,Suburban
-4306569696342825794,PC,Wi-Fi,Suburban
-8214499541813377375,PC,Wi-Fi,Medios sociales
-1614110468585291654,Tablet,Wi-Fi,Urban
7899986244989024272,Tablet,5G,Rural
42592163930862965,Smartphone,Wi-Fi,Urban
-6763145535925562883,This is free text for Device_Type,5G,Suburban
1111196351747725757,PC,5G,Rural
-5557240307927153273,Tablet,5G,Rural
-4101995990994843346,Tablet,5G,Rural
4697846327488098051,Smartphone,Wi-Fi,Suburban
5129651126996770570,device-123,4G,Rural
521348976458368578,Smartphone,Wi-Fi,Suburban
-561014708473598855,PC,4G,Suburban
5351076355129641,Tablet,Wi-Fi,Urban
-2734687745594105520,PC,5G,Suburban
-5308317588356059923,device-123,4G,Suburban
-8229974318700955241,PC,Wi-Fi,Urban
6701463051796443139,Smartphone,Wi-Fi,Rural
-6225021789893599018,Smartphone,5G,Suburban
-3388782590139622349,Tablet,5G,Urban
-7442768217405125370,PC,5G,Urban
-3273857914532917812,PC,Wi-Fi,Medios sociales
4312916282223596601,PC,4G,Rural
-8513562777535509793,Tablet,4G,Suburban
291377836315219822,Tablet,5G,Urban
-8750384271601023510,Tablet,Wi-Fi,Urban
9080366457110811545,Tablet,4G,Suburban
-348680355963620084,PC,Wi-Fi,Suburban
-7657616096417554786,Smartphone,5G,Urban
8230337592665942006,PC,4G,Suburban
4426847077959994082,Tablet,5G,Rural
-4086526639974198425,PC,5G,Suburban
-7198119366531889623,PC,5G,Suburban
-6062074850194815281,device-123,5G,Suburban
5724366442894770419,Smartphone,5G,Urban
1506262214829984337,PC,4G,Suburban
997308304356608459,PC,4G,Suburban
6590957786731418196,Tablet,4G,Rural
6973360608262955122,PC,4G,Suburban
