User_ID,Age_Group,Gender,Social_Status
-4.45266319649053e+18,18-24,Male,High
-8.188520293638313e+17,25-34,Male,Low
-2.9275335641575674e+17,35-44,Male,High
7.509002666944287e+18,18-24,Female,Middle
4.891505550155401e+18,35-44,Female,High
2.6262799335311933e+18,18-24,Female,Low
1.95583089038703e+18,55+,Female,High
8.002322137623065e+18,45-54,Streaming,High
8.84703157680893e+18,55+,Female,Low
4.6236808352659136e+17,18-24,Female,Middle
-3.5402207757102003e+18,35-44,Male,High
-1.729996948287944e+18,Achats,Female,Low
6.189765984303721e+18,18-24,Male,Middle
,35-44,,
3.2354783795909524e+18,35-44,Female,Middle
2.3490405584576753e+18,45-54,Female,Middle
-1.8476237357809088e+18,35-44,Male,High
-8.706109993441234e+18,35-44,Female,High
-2.7572494934526623e+18,18-24,Male,High
-3.168400725204928e+18,45-54,Female,Middle
7.054023847346521e+18,55+,Male,Middle
-2.637437305722164e+18,55+,Female,Low
-4.1201389377044675e+18,45-54,Male,High
5.954619287773908e+18,18-24,Female,Low
3.547491741567946e+18,55+,Female,Middle
-9.180320082153111e+18,25-34,Male,Low
-7.519310213278246e+18,45-54,Female,Low
3.24080659776456e+18,18-24,Male,Middle
1.1605146083931932e+18,Achats,Male,Middle
-4.634683057338066e+18,25-34,Male,High
8.10427406871224e+18,35-44,Male,Low
-6.876669036290037e+18,35-44,Female,Middle
2.1734956077574487e+18,55+,Female,High
5.874043961768915e+18,55+,Female,Low
-7.414733251450053e+18,55+,Female,High
3.2489564770020506e+18,55+,Female,Low
-4.63122163655405e+18,35-44,Male,High
-5.169494430255179e+18,45-54,Male,High
6.107515569174889e+18,25-34,Female,High
-7.719932551191198e+18,35-44,Female,High
5.506395577159845e+18,45-54,Female,Low
-6.588378237492739e+17,25-34,Male,High
2.314064598883573e+18,18-24,Male,Low
-2.3462616927968256e+18,18-24,Female,Middle
-9.83317751706538e+17,35-44,Male,Middle
-8.650558846027387e+18,25-34,Male,High
-8.617761616202227e+18,25-34,Male,Middle
-5.767698590127101e+18,25-34,Female,High
-4.306569696342826e+18,25-34,Male,Low
-8.214499541813377e+18,35-44,Female,Low
-1.6141104685852918e+18,35-44,Male,High
7.899986244989024e+18,55+,Male,Low
4.259216393086297e+16,55+,Female,Low
-6.763145535925563e+18,25-34,Male,Low
1.1111963517477257e+18,35-44,Female,High
